,Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,2urvived
0,1,22.0,7.25,0,1,0,3,2.0,0
1,2,38.0,71.2833,1,1,0,1,0.0,1
2,3,26.0,7.925,1,0,0,3,2.0,1
3,4,35.0,53.1,1,1,0,1,2.0,1
4,5,35.0,8.05,0,0,0,3,2.0,0
5,6,28.0,8.4583,0,0,0,3,1.0,0
6,7,54.0,51.8625,0,0,0,1,2.0,0
7,8,2.0,21.075,0,3,1,3,2.0,0
8,9,27.0,11.1333,1,0,2,3,2.0,1
9,10,14.0,30.0708,1,1,0,2,0.0,1
10,11,4.0,16.7,1,1,1,3,2.0,1
11,12,58.0,26.55,1,0,0,1,2.0,1
12,13,20.0,8.05,0,0,0,3,2.0,0
13,14,39.0,31.275,0,1,5,3,2.0,0
14,15,14.0,7.8542,1,0,0,3,2.0,0
15,16,55.0,16.0,1,0,0,2,2.0,1
16,17,2.0,29.125,0,4,1,3,1.0,0
17,18,28.0,13.0,0,0,0,2,2.0,1
18,19,31.0,18.0,1,1,0,3,2.0,0
19,20,28.0,7.225,1,0,0,3,0.0,1
20,21,35.0,26.0,0,0,0,2,2.0,0
21,22,34.0,13.0,0,0,0,2,2.0,1
22,23,15.0,8.0292,1,0,0,3,1.0,1
23,24,28.0,35.5,0,0,0,1,2.0,1
24,25,8.0,21.075,1,3,1,3,2.0,0
25,26,38.0,31.3875,1,1,5,3,2.0,1
26,27,28.0,7.225,0,0,0,3,0.0,0
27,28,19.0,263.0,0,3,2,1,2.0,0
28,29,28.0,7.8792,1,0,0,3,1.0,1
29,30,28.0,7.8958,0,0,0,3,2.0,0
30,31,40.0,27.7208,0,0,0,1,0.0,0
31,32,28.0,146.5208,1,1,0,1,0.0,1
32,33,28.0,7.75,1,0,0,3,1.0,1
33,34,66.0,10.5,0,0,0,2,2.0,0
34,35,28.0,82.1708,0,1,0,1,0.0,0
35,36,42.0,52.0,0,1,0,1,2.0,0
36,37,28.0,7.2292,0,0,0,3,0.0,1
37,38,21.0,8.05,0,0,0,3,2.0,0
38,39,18.0,18.0,1,2,0,3,2.0,0
39,40,14.0,11.2417,1,1,0,3,0.0,1
40,41,40.0,9.475,1,1,0,3,2.0,0
41,42,27.0,21.0,1,1,0,2,2.0,0
42,43,28.0,7.8958,0,0,0,3,0.0,0
43,44,3.0,41.5792,1,1,2,2,0.0,1
44,45,19.0,7.8792,1,0,0,3,1.0,1
45,46,28.0,8.05,0,0,0,3,2.0,0
46,47,28.0,15.5,0,1,0,3,1.0,0
47,48,28.0,7.75,1,0,0,3,1.0,1
48,49,28.0,21.6792,0,2,0,3,0.0,0
49,50,18.0,17.8,1,1,0,3,2.0,0
50,51,7.0,39.6875,0,4,1,3,2.0,0
